epoch,total_reward,avg_reward_per_step,num_episodes,goal_reached,goal_reach_rate,total_cost,avg_cost,lambda,pi_loss,loss_v
1,-8604.398763046396,-2.100683291759374,205,0,0.0,0.0,0.0,0.0,-0.023620694875717163,672.44189453125
2,-7777.444961756667,-1.8987902738663738,214,0,0.0,0.0,0.0,0.0,-0.0165830310434103,511.979248046875
3,-8395.530729353946,-2.0496901194711783,197,0,0.0,0.0,0.0,0.0,-0.01403798721730709,681.3368530273438
4,-7644.511326551958,-1.866335773083974,204,0,0.0,0.0,0.0,0.0,-0.014926828444004059,540.7850952148438
5,-7440.917728531534,-1.816630304817269,202,0,0.0,0.0,0.0,0.0,-0.01712079532444477,536.693359375
6,-7036.1746739428745,-1.7178160825055846,199,0,0.0,0.0,0.0,0.0,-0.014710118062794209,490.0099792480469
7,-7385.0432017809535,-1.802989062934803,196,0,0.0,0.0,0.0,0.0,-0.014677966944873333,537.4788818359375
8,-6993.345617823566,-1.7073597699764564,188,0,0.0,0.0,0.0,0.0,-0.015461898408830166,502.4848937988281
9,-6310.770728126668,-1.5407155097965497,191,0,0.0,0.0,0.0,0.0,-0.015801679342985153,410.71600341796875
10,-6561.165515085311,-1.6018470495813748,189,0,0.0,0.0,0.0,0.0,-0.015159671194851398,429.51287841796875
11,-6884.3361639573695,-1.6807461337786547,180,0,0.0,0.0,0.0,0.0,-0.017108846455812454,503.8306884765625
12,-6735.346194509896,-1.6443716295190176,173,0,0.0,0.0,0.0,0.0,-0.017437802627682686,466.00439453125
13,-6722.232792780692,-1.6411701154249736,171,0,0.0,0.0,0.0,0.0,-0.01766699180006981,498.0676574707031
14,-6939.2808589801025,-1.694160365961939,173,0,0.0,0.0,0.0,0.0,-0.015422221273183823,495.482177734375
15,-6388.029141253802,-1.5595774270639164,174,0,0.0,0.0,0.0,0.0,-0.019185351207852364,414.54010009765625
16,-6275.046703338804,-1.5319938240573252,175,0,0.0,0.0,0.0,0.0,-0.01527433842420578,383.9677429199219
17,-6932.039445118136,-1.692392442655795,179,0,0.0,0.0,0.0,0.0,-0.016194570809602737,436.40643310546875
18,-6652.031216724813,-1.6240310587707063,176,0,0.0,0.0,0.0,0.0,-0.01638898439705372,386.698486328125
19,-6447.329172859552,-1.5740549738426641,179,0,0.0,0.0,0.0,0.0,-0.017705535516142845,347.02020263671875
20,-6654.729663551908,-1.6246898592656025,186,0,0.0,0.0,0.0,0.0,-0.018529700115323067,357.8935546875
21,-6475.498211570295,-1.580932180559154,181,0,0.0,0.0,0.0,0.0,-0.016276758164167404,321.3000793457031
22,-6482.708727961407,-1.5826925605374529,177,0,0.0,0.0,0.0,0.0,-0.01794295199215412,331.64239501953125
23,-6541.21773965593,-1.596976987220686,187,0,0.0,0.0,0.0,0.0,-0.016436893492937088,319.79754638671875
24,-5958.136952257951,-1.4546232793598513,190,0,0.0,0.0,0.0,0.0,-0.01623270846903324,259.1441955566406
25,-6379.3329561319415,-1.5574543349931498,190,0,0.0,0.0,0.0,0.0,-0.0159271452575922,273.6474609375
26,-6053.621245472868,-1.4779348743830245,199,0,0.0,0.0,0.0,0.0,-0.01944747380912304,231.01760864257812
27,-6366.923425947396,-1.5544246645379385,200,0,0.0,0.0,0.0,0.0,-0.018022656440734863,262.38037109375
28,-6304.5488416249955,-1.5391964945373524,215,0,0.0,0.0,0.0,0.0,-0.018498171120882034,226.245361328125
29,-5929.593079311833,-1.4476545603788655,218,0,0.0,0.0,0.0,0.0,-0.018231764435768127,211.17794799804688
30,-6237.700436804274,-1.5228760832041686,237,0,0.0,0.0,0.0,0.0,-0.01744631491601467,227.9159698486328
31,-6442.914686874798,-1.5729772184752924,258,0,0.0,0.0,0.0,0.0,-0.018835391849279404,226.28140258789062
32,-5846.253742807814,-1.427308042677689,273,0,0.0,0.0,0.0,0.0,-0.01925637200474739,158.23934936523438
