epoch,total_reward,avg_reward_per_step,num_episodes,avg_cost,lambda,pi_loss,loss_vr,loss_vc
1,-8580.506504484305,-2.0948502208213635,220,0.0,0.099,-0.026124536991119385,606.685546875,0.005541245453059673
2,-8430.876740854816,-2.0583195168102577,221,0.0,0.098,-0.016989367082715034,567.5137939453125,0.00349002075381577
3,-8525.007964949235,-2.081300772692684,218,0.0,0.097,-0.01622617058455944,616.7886962890625,0.0027056646067649126
4,-8308.682752128083,-2.0284870000312702,221,0.0,0.096,-0.015043701976537704,567.9987182617188,0.002262088702991605
5,-7933.666499724498,-1.9369302977843013,212,0.0,0.095,-0.015692224726080894,555.944091796875,0.0019175015622749925
6,-7741.9543030451105,-1.8901255622668727,208,0.0,0.094,-0.015554334968328476,550.3319702148438,0.0017068739980459213
7,-7768.542347729316,-1.8966167841136026,208,0.0,0.093,-0.013462983071804047,552.0757446289062,0.001547371968626976
8,-7539.109356141026,-1.8406028701516177,200,0.0,0.092,-0.015703151002526283,537.651611328125,0.0013613556511700153
9,-7316.595593903152,-1.7862782211677617,203,0.0,0.091,-0.014700522646307945,514.2110595703125,0.0012796532828360796
10,-7238.162866397157,-1.7671296060539934,201,0.0,0.09,-0.016238152980804443,504.97015380859375,0.0011861200910061598
11,-7256.138613935077,-1.7715182162927434,202,0.0,0.089,-0.015481448732316494,502.2818603515625,0.0011648719664663076
12,-7141.509362438525,-1.7435325591890931,195,0.0,0.088,-0.016912298277020454,495.8394775390625,0.0010618233354762197
13,-6896.6586511287105,-1.6837545534982203,194,0.0,0.087,-0.018187683075666428,483.73822021484375,0.0010214784415438771
14,-6549.572706266151,-1.5990167739907595,202,0.0,0.086,-0.016780760139226913,406.47113037109375,0.0009273066534660757
15,-6556.994354134024,-1.600828699739752,201,0.0,0.08499999999999999,-0.015730150043964386,399.0877380371094,0.0008019244414754212
16,-6287.353219457781,-1.5349983445941848,200,0.0,0.08399999999999999,-0.016045045107603073,375.8629150390625,0.0008190996595658362
17,-6442.59964527511,-1.5729003040222436,208,0.0,0.08299999999999999,-0.018214460462331772,375.948486328125,0.0007335427799262106
18,-5382.220416115993,-1.3140186562783187,237,0.0,0.08199999999999999,-0.01741955429315567,218.6439208984375,0.0006891230586916208
19,-5531.246302742448,-1.3504019293804805,244,0.0,0.08099999999999999,-0.019471999257802963,225.96762084960938,0.0006264618132263422
20,-5218.592864052203,-1.274070523450245,273,0.0,0.07999999999999999,-0.01874256134033203,158.79275512695312,0.0006103758350946009
